epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.5879,2.17923,5.21017,1.57777,0,0,0,0,1.37697,4.52564,1.19062,2.307e-05,2.307e-05,2.307e-05
2,3.65785,2.07965,4.99448,1.51665,0,0,0,0,1.21895,4.44942,1.09402,5.32971e-05,5.32971e-05,5.32971e-05
3,4.66789,1.76986,4.89388,1.21109,0,0,0,0,1.21656,4.27307,0.96929,8.29151e-05,8.29151e-05,8.29151e-05
4,5.58039,1.56798,4.59776,1.10076,0,0,0,0,1.14581,4.26612,0.92115,0.000111924,0.000111924,0.000111924
5,6.49523,1.58761,4.4463,1.06996,0,0,0,0,1.22624,4.25696,0.93088,0.000140324,0.000140324,0.000140324
6,7.35537,1.46063,4.0673,1.01961,0,0,0,0,1.30755,4.22607,0.95385,0.000168115,0.000168115,0.000168115
7,8.22209,1.4675,4.1069,1.04021,0,0,0,0,1.30065,4.19458,0.98303,0.000195297,0.000195297,0.000195297
8,9.03917,1.4911,3.8716,1.04872,0,0,0,0,1.24881,4.14182,0.9918,0.00022187,0.00022187,0.00022187
9,9.8826,1.44851,3.40894,1.02568,0.02778,0.08333,0.05139,0.04111,1.23515,4.01611,0.95858,0.000247833,0.000247833,0.000247833
10,10.7304,1.45768,3.19451,1.03215,0.03338,0.41667,0.29421,0.20925,1.26143,3.83551,0.92275,0.000273188,0.000273188,0.000273188
11,11.5657,1.5191,2.88871,1.04782,0.07027,0.85,0.69983,0.49578,1.17844,3.67639,0.87903,0.000297934,0.000297934,0.000297934
12,12.4518,1.49183,2.72635,0.99396,0.08491,0.93333,0.77616,0.50786,1.19624,3.56629,0.88499,0.00032207,0.00032207,0.00032207
13,13.3005,1.4812,2.4747,1.02624,0.07771,0.93333,0.81997,0.53139,1.2318,3.51051,0.90498,0.000345598,0.000345598,0.000345598
14,14.1429,1.40088,2.34851,1.00887,0.06912,0.93333,0.87497,0.60501,1.20438,3.38796,0.89314,0.000368516,0.000368516,0.000368516
15,14.9891,1.37827,2.44824,1.0278,0.06043,0.93333,0.92987,0.60377,1.2531,3.1885,0.90706,0.000390826,0.000390826,0.000390826
16,15.8568,1.40977,2.16702,1.03789,0.05295,0.93333,0.91301,0.56887,1.26861,3.18004,0.945,0.000412526,0.000412526,0.000412526
17,16.7026,1.33784,2.03565,1.0052,0.04967,0.93333,0.91299,0.54744,1.30924,3.09654,0.95497,0.000433618,0.000433618,0.000433618
18,17.547,1.39139,1.88867,0.9989,0.04442,0.93333,0.90168,0.52936,1.33318,2.89877,0.94598,0.0004541,0.0004541,0.0004541
19,18.3567,1.43089,2.08742,1.01157,0.04314,0.93333,0.89392,0.55591,1.33267,2.85101,0.94745,0.000473973,0.000473973,0.000473973
20,19.2086,1.32717,2.09352,1.00068,0.0376,0.93333,0.8524,0.51328,1.29172,3.00151,0.96084,0.000493237,0.000493237,0.000493237
21,20.0768,1.32639,1.9847,0.99226,0.03091,0.76667,0.76479,0.51715,1.37479,3.1825,1.00929,0.000511893,0.000511893,0.000511893
22,20.9075,1.27718,1.60688,0.98141,1,0.23902,0.76463,0.51913,1.41768,3.08588,1.02613,0.000529939,0.000529939,0.000529939
23,21.737,1.25981,1.78287,0.97683,1,0.13967,0.76468,0.54909,1.42656,3.04103,1.03676,0.000547376,0.000547376,0.000547376
24,22.5426,1.33298,1.74174,0.96695,1,0.13315,0.76487,0.51921,1.39631,2.88368,1.05242,0.000564204,0.000564204,0.000564204
25,23.4344,1.2463,1.63136,0.95415,1,0.14961,0.7676,0.50207,1.38998,2.67329,1.06962,0.000580423,0.000580423,0.000580423
26,24.2416,1.2628,1.67172,0.96893,0.94539,0.5,0.81032,0.51005,1.47313,2.51756,1.07007,0.000578672,0.000578672,0.000578672
27,25.0999,1.18325,1.66833,0.96583,0.92229,0.58797,0.81826,0.47122,1.52207,2.4506,1.08079,0.000571059,0.000571059,0.000571059
28,25.9527,1.20942,1.49986,0.97424,0.91308,0.62716,0.84962,0.507,1.47679,2.28709,1.07524,0.000563446,0.000563446,0.000563446
29,26.7994,1.2262,1.52703,0.97799,0.94287,0.65117,0.87374,0.52501,1.43114,2.18555,1.06693,0.000555833,0.000555833,0.000555833
30,27.686,1.19264,1.48977,0.94596,0.9921,0.58469,0.87364,0.54797,1.3891,2.33423,1.03908,0.00054822,0.00054822,0.00054822
31,28.5335,1.20464,1.63701,0.96866,1,0.44141,0.82742,0.50029,1.36575,2.56324,1.01427,0.000540607,0.000540607,0.000540607
32,29.3544,1.2352,1.56603,0.96535,1,0.52514,0.87356,0.54702,1.3819,2.40271,1.01811,0.000532994,0.000532994,0.000532994
33,30.2259,1.2332,1.43361,0.96083,1,0.60806,0.90389,0.57383,1.34652,2.13487,1.04914,0.000525381,0.000525381,0.000525381
34,31.0771,1.161,1.59557,0.92983,1,0.68091,0.95864,0.608,1.40044,1.95271,1.07814,0.000517768,0.000517768,0.000517768
35,31.9416,1.19147,1.41777,0.94911,1,0.72286,0.94917,0.59844,1.38004,1.81957,1.08409,0.000510155,0.000510155,0.000510155
36,32.8716,1.06115,1.33124,0.93032,0.89643,0.77762,0.9325,0.55,1.43827,1.71885,1.06453,0.000502541,0.000502541,0.000502541
37,33.7311,1.15252,1.43846,0.94285,0.89018,0.77706,0.93731,0.54052,1.45181,1.69598,1.05986,0.000494928,0.000494928,0.000494928
38,34.5655,1.17279,1.51176,0.94455,0.88158,0.77561,0.95333,0.5604,1.43819,1.60742,1.062,0.000487315,0.000487315,0.000487315
39,35.3894,1.21685,1.46043,0.95246,0.95354,0.84512,0.96537,0.5868,1.39874,1.59745,1.05213,0.000479702,0.000479702,0.000479702
40,36.2079,1.1885,1.3932,0.91992,0.95534,0.8635,0.96167,0.60756,1.33598,1.6144,1.05518,0.000472089,0.000472089,0.000472089
41,37.0557,1.05037,1.42146,0.9159,0.91089,0.90472,0.96537,0.62087,1.34199,1.62233,1.06063,0.000464476,0.000464476,0.000464476
42,37.9469,1.10272,1.33716,0.95797,0.90768,0.7792,0.92921,0.59992,1.36024,1.65189,1.06514,0.000456863,0.000456863,0.000456863
43,38.7723,1.24923,1.45015,0.92988,0.91652,0.74878,0.87912,0.57628,1.37156,1.73672,1.068,0.00044925,0.00044925,0.00044925
44,39.5758,1.1079,1.39307,0.93756,0.85748,0.76849,0.88528,0.56201,1.38373,1.76177,1.06834,0.000441637,0.000441637,0.000441637
45,40.4032,1.11736,1.36999,0.95163,0.85504,0.77326,0.89336,0.55091,1.40162,1.61359,1.05851,0.000434024,0.000434024,0.000434024
46,41.2156,1.07844,1.31665,0.91713,0.83312,0.8594,0.93528,0.57508,1.35394,1.37414,1.05301,0.000426411,0.000426411,0.000426411
47,42.0258,1.09063,1.28294,0.93795,0.82347,0.84996,0.93528,0.60582,1.34492,1.259,1.04651,0.000418797,0.000418797,0.000418797
48,42.8648,1.07274,1.23346,0.92643,0.84527,0.97492,0.94639,0.61164,1.32144,1.24748,1.04062,0.000411184,0.000411184,0.000411184
49,43.7064,1.05629,1.17004,0.90114,0.85106,0.91405,0.94639,0.60588,1.36488,1.35528,1.06006,0.000403571,0.000403571,0.000403571
50,44.5339,1.04814,1.25676,0.92392,0.92609,0.81193,0.95056,0.59782,1.43297,1.40628,1.09891,0.000395958,0.000395958,0.000395958
51,45.375,1.00329,1.20459,0.9016,0.89731,0.82343,0.92556,0.57993,1.45982,1.37211,1.11156,0.000388345,0.000388345,0.000388345
52,46.1862,1.0309,1.19055,0.91414,0.8949,0.8243,0.95611,0.58636,1.43072,1.28129,1.10396,0.000380732,0.000380732,0.000380732
53,46.9836,1.08898,1.19052,0.92763,0.9066,0.82327,0.95611,0.61109,1.39599,1.22244,1.07896,0.000373119,0.000373119,0.000373119
54,47.8073,1.0023,1.14006,0.92452,0.91382,0.83301,0.94817,0.60716,1.34569,1.1943,1.05271,0.000365506,0.000365506,0.000365506
55,48.6257,1.02455,1.2217,0.93339,0.96914,0.81114,0.9262,0.60251,1.31867,1.18882,1.04202,0.000357893,0.000357893,0.000357893
56,49.4331,1.0917,1.27219,0.94405,0.96925,0.81335,0.9181,0.60282,1.34119,1.20841,1.04496,0.00035028,0.00035028,0.00035028
57,50.2517,1.06126,1.18104,0.91826,0.92628,0.82613,0.90166,0.58668,1.4005,1.27042,1.04393,0.000342666,0.000342666,0.000342666
58,51.0632,0.97491,1.13384,0.90455,0.94815,0.82657,0.90169,0.56589,1.43335,1.27311,1.03756,0.000335053,0.000335053,0.000335053
59,51.8525,1.07237,1.13062,0.92914,0.96332,0.81829,0.89384,0.55917,1.42995,1.26359,1.03161,0.00032744,0.00032744,0.00032744
60,52.688,1.02,1.17979,0.93119,0.97013,0.80901,0.90933,0.55348,1.43805,1.25069,1.02938,0.000319827,0.000319827,0.000319827
61,53.4996,1.06967,1.11309,0.90959,0.98074,0.79635,0.93019,0.57598,1.43244,1.22888,1.02054,0.000312214,0.000312214,0.000312214
62,54.3003,1.03255,1.19963,0.91018,0.91597,0.89726,0.95611,0.58703,1.40105,1.2199,1.00181,0.000304601,0.000304601,0.000304601
63,55.1016,1.08276,1.09566,0.92664,0.92864,0.90092,0.95397,0.62456,1.35678,1.2307,0.98297,0.000296988,0.000296988,0.000296988
64,55.92,1.0067,1.14829,0.91233,0.92747,0.90014,0.96167,0.63841,1.32017,1.24261,0.97485,0.000289375,0.000289375,0.000289375
65,56.7699,1.04269,1.1278,0.90978,0.93077,0.91527,0.96537,0.66115,1.28138,1.1899,0.97567,0.000281762,0.000281762,0.000281762
66,57.5948,0.92772,1.04794,0.88906,0.94785,0.92535,0.97,0.68937,1.23437,1.10317,0.98409,0.000274148,0.000274148,0.000274148
67,58.4385,1.03766,1.17165,0.91477,0.98356,0.92749,0.97,0.65549,1.23061,1.01484,1.0017,0.000266535,0.000266535,0.000266535
68,59.2605,1.0294,1.10571,0.9052,0.98114,0.91932,0.97,0.64324,1.26728,0.99175,1.01956,0.000258922,0.000258922,0.000258922
69,60.0673,0.93046,1.0957,0.89752,0.95167,0.91534,0.96167,0.62483,1.28435,1.00936,1.0301,0.000251309,0.000251309,0.000251309
70,60.882,1.03417,1.15962,0.92245,0.92815,0.91451,0.94685,0.60978,1.30865,1.06175,1.03473,0.000243696,0.000243696,0.000243696
71,61.6835,1.01132,1.03677,0.91885,0.91901,0.91165,0.94348,0.61956,1.35878,1.08125,1.04534,0.000236083,0.000236083,0.000236083
72,62.5246,0.98774,1.01526,0.89066,0.9151,0.90845,0.93983,0.58244,1.37342,1.06627,1.05186,0.00022847,0.00022847,0.00022847
73,63.3491,0.99093,1.04929,0.89294,0.91614,0.90181,0.94024,0.59014,1.37951,1.02855,1.07459,0.000220857,0.000220857,0.000220857
74,64.1651,0.93769,1.0575,0.89993,0.91513,0.90459,0.93983,0.57555,1.36644,1.04206,1.07698,0.000213244,0.000213244,0.000213244
75,64.9804,0.97564,1.08692,0.90799,0.9116,0.91104,0.93097,0.5632,1.36042,1.05073,1.08608,0.000205631,0.000205631,0.000205631
76,65.7972,0.9855,1.1476,0.89552,0.90483,0.91905,0.93108,0.5726,1.36169,1.09465,1.09076,0.000198018,0.000198018,0.000198018
77,66.64,0.97188,1.04983,0.91247,0.90463,0.91531,0.93113,0.59073,1.33807,1.1455,1.07544,0.000190404,0.000190404,0.000190404
78,67.4629,0.95623,1.03517,0.89584,0.90435,0.91119,0.93144,0.61047,1.3255,1.16798,1.05584,0.000182791,0.000182791,0.000182791
79,68.2718,0.91382,1.01529,0.8978,0.90348,0.91178,0.93138,0.61053,1.32673,1.19746,1.03915,0.000175178,0.000175178,0.000175178
80,69.07,0.91401,1.0231,0.88823,0.90207,0.91646,0.93183,0.62892,1.3019,1.17872,1.03822,0.000167565,0.000167565,0.000167565
81,69.8828,0.96208,1.10714,0.9177,0.96239,0.80388,0.90424,0.63054,1.29624,1.15732,1.03707,0.000159952,0.000159952,0.000159952
82,70.704,0.8871,0.95195,0.91063,0.95111,0.81943,0.8964,0.61405,1.29578,1.15237,1.03894,0.000152339,0.000152339,0.000152339
83,71.5627,0.92828,0.99236,0.88701,0.94353,0.82732,0.85765,0.61149,1.29612,1.09532,1.04623,0.000144726,0.000144726,0.000144726
